流水號,攝影機編號,WGSX,WGSY
1,001-市民快承德,121.516899,25.048553
2,002-環快忠孝橋,121.506042,25.049253
3,003-環快中興橋,121.500679,25.044197
4,004-環快華江橋,121.4904247,25.03527326
5,005-環快光復橋,121.4912983,25.0248362
6,006-環快華中橋,121.495305,25.016719
7,007-水源快中正橋,121.5166651,25.02218833
8,008-水源快師大,121.522281,25.020491
9,009-辛亥快汀州,121.526881,25.018831
10,010-辛亥快泰順,121.529495,25.019934
11,011-辛亥快新生南,121.534517,25.022641
12,012-建國快辛亥,121.536369,25.022418
13,013-建國快和平,121.53751,25.02576
14,014-建國快信義,121.537651,25.033466
15,015-建國快仁愛,121.53798,25.03807
16,016-建國快忠孝,121.53701,25.0416
17,017-建國快長安,121.53684,25.04848
18,018-建國快南京,121.53661,25.05187
19,019-建國快民生,121.53703,25.05801
20,020-建國快民權,121.53692,25.06228
21,021-民族松江,121.53295,25.06831
22,022-建國快圓山匝道,121.5336,25.07116
23,023-水源快永福橋,121.52814,25.012011
24,024-水源快福和橋,121.532405,25.008628
25,025-基隆快羅斯,121.53717,25.01134
26,026-基隆快辛亥,121.5468,25.019
27,027-市民快環河,121.506905,25.050808
28,028-市民快中山,121.520889,25.048124
29,029-市民快敦化,121.548958,25.044937
30,030-市民快松江,121.532738,25.045305
31,031-市民快永吉,121.56501,25.044683
32,032-市民快重慶匝道,121.512978,25.049494
33,033-市民快新生匝道,121.530198,25.046084
34,034-市民快建國北匝道,121.536842,25.044715
35,035-市民快光復匝道,121.556938,25.044897
36,036-市民快正氣橋上層,121.567345,25.045813
37,037-市民快麥帥一橋,121.570717,25.051216
38,038-基隆永吉,121.566913,25.045533
39,039-環河民生,121.508362,25.056755
40,040-民權西台北橋,121.508774,25.063412
41,041-環河北敦煌,121.508559,25.076133
42,042-承德中正,121.515997,25.090995
43,043-重慶北交流道,121.513039,25.081245
44,044-圓山中山橋,121.5253088,25.07627506
45,045-大直橋,121.544685,25.077025
46,046-民權撫遠,121.56593,25.06331
47,047-麥帥二橋松山抽水站,121.57016,25.054733
48,048-中正重陽橋,121.505803,25.085694
49,049-環東快堤頂匝道,121.577797,25.05489
50,050-環東快舊宗匝道,121.584259,25.058504
51,051-環東快成功路,121.5910282,25.06109731
52,052-環東快出城往東,121.600304,25.05835
53,053-環東麥帥二橋往堤頂,121.573631,25.058311
54,054-環東快成功橋,121.591705,25.060177
55,055-環東快進城基河三期國宅,121.601273,25.058428
56,056-環東快進城南湖大橋,121.611183,25.061342
57,057-環東快經貿一路匝道,121.616203,25.062899
58,058-三重南港,121.614059,25.054968
59,059-經貿二南港,121.616638,25.055103
60,060-環東匝道,121.619362,25.059399
61,061-南湖大橋三重路,121.614487,25.060604
62,063-洲美快道福國匝道,121.499135,25.101245
63,064-洲美快13號道路匝道前,121.4991137,25.10613965
64,065-洲美快焚化爐前,121.4986613,25.10812087
65,066-洲美快13號道路,121.498663,25.112044
66,067-洲美快大業路匝道,121.499687,25.116961
67,068-大業大度,121.499672,25.121141
68,069-環河北中正,121.505536,25.085722
69,070-延平社中,121.501044,25.090495
70,071-延平北通河西,121.497548,25.093829
71,072-延平北通河西(堤防),121.497352,25.094381
72,073-信義快萬芳交流道,121.580375,25.004241
73,074-信義松德,121.5741417,25.03311944
74,075-信義松仁,121.568184,25.032612
75,076-新生高圓山,121.5256463,25.07434992
76,077-環河快詔安街,121.514607,25.02400181
77,078-環河快泉州街,121.5121763,25.02408073
78,079-復興辛亥,121.543298,25.021568
79,080-環河快貴陽匝道,121.49559,25.03858
80,081-環河快萬板大橋,121.4882854,25.03043655
81,082-環河快華翠大橋,121.4891298,25.0275276
82,083-環河快青年路口,121.5042989,25.01985106
83,084-水源快溪州街口,121.5342047,25.00594153
84,085-水源快景美出口匝道,121.535638,24.997855
85,086-水源快景美入口匝道,121.5352933,25.0000574
86,087-基隆快樂業街口,121.5502051,25.02227099
87,088-基隆快敦化南路,121.5486272,25.02105815
88,089-基隆快辛亥出口匝道,121.54171,25.01487
89,090-建國快松江,121.53398,25.06733
90,091-中山北安,121.5267972,25.07595899
91,092-復北隧道南口-民族復興,121.5443686,25.06658579
92,093-復北隧道北向0K+500M,121.54436,25.06731
93,094-復北隧道北向0K+623M,121.544434,25.069681
94,095-復北隧道北向0K+750M,121.54432,25.06955
95,096-復北隧道北向0K+876M,121.54431,25.07061
96,097-復北隧道北口-濱江大直橋,121.54417,25.07197
97,098-復北隧道南向0K+955M,121.54426,25.07127
98,099-復北隧道南向0K+830M,121.54425,25.07019
99,100-復北隧道南向0K+705M,121.54423,25.06915
100,101-復北隧道南向0K+580M,121.54425,25.06803
101,102-東湖隧道北向0K+295M,121.60913,25.08091
102,103-東湖隧道南向0K+593M,121.61074,25.07939
103,104-東湖隧道南向0K+770M,121.61263,25.07823
104,105-東湖隧道北向1K+115M,121.61605,25.07838
105,106-東湖隧道南向1K+245M,121.61745,25.07861
106,107-東湖隧道北向1K+500M,121.61963,25.07963
107,108-東湖隧道北向1K+777M,121.62226,25.07864
108,109-內湖環山,121.565307,25.082148
109,110-堤頂樂群一,121.57003,25.07732
110,111-堤頂基湖(東南角),121.564125,25.078604
111,112-堤頂基湖(西南角),121.563957,25.078972
112,113-瑞光港墘(台北登峰),121.574814,25.076233
113,114-港墘路220號(遠傳港墘大樓),121.57355,25.07532
114,115-舊宗路2段181巷口,121.574409,25.071665
115,117- 舊宗路2段與民權東路6段11巷25弄口,121.574753,25.067524
116,119-民權舊宗路口,121.5752,25.06558
117,120-民權東路6段與堤頂大道1段路口號誌桿,121.572258,25.06488
118,121-木柵路1段與木柵路1段76巷口號誌桿,121.550159,24.98746
119,122-新明路成美橋,121.5822339,25.05563424
120,124-康寧東湖,121.612182,25.068992
121,125-二殯西北角(辛亥路三段330號),121.5530827,25.01374605
122,126-芳蘭路-基隆路三段155巷176弄,121.5469487,25.01430573
123,127-辛亥路-芳蘭路(門架上),121.5490423,25.01694323
124,128-信義松智東南角,121.565483,25.032854
125,129-忠孝光復,121.557732,25.041399
126,130-忠孝基隆,121.56469,25.041418
127,131-忠孝松山,121.578094,25.040913
128,132-仁愛光復,121.557777,25.037724
129,133-松高松智,121.565567,25.039202
130,134-松仁松壽,121.568314,25.03578
131,135-基隆信義,121.559769,25.033039
132,136-基隆光復,121.559769,25.033039
133,137-市府西南(松壽市府),121.563805,25.036091
134,138-市府東南(松壽松智),121.565224,25.036072
135,139-市府東北(松高松智),121.565269,25.038872
136,140-市府西北(松高市府),121.563782,25.038948
137,141-北安明水(近大直橋),121.551575,25.085754
138,142-北安明水(近自強隧道),121.552841,25.085871
139,143-內湖堤頂(西側),121.56076,25.0842
140,145-內湖港墘,121.576591,25.079613
141,146-成功文德,121.589599,25.079314
142,147-明水樂群一路,121.550697,25.077282
143,148-敬業三路樂群二路,121.556145,25.079866
144,149-瑞光路478巷口,121.569426,25.078963
145,150-瑞光陽光(瑞光社宅),121.579063,25.073568
146,151-堤頂大道樂群一路,121.56855,25.077263
147,152-堤頂大道1段與港墘路口往北,121.5724,25.07461
148,153-民權行愛,121.578331,25.066748
149,154-民權瑞光,121.583979,25.068633
150,155-民權成功,121.590592,25.069049
151,156-舊宗新湖二路,121.578247,25.06175
152,157-中山劍潭(東側),121.525623,25.084018
153,158-延平民權(進城),121.511231,25.063051
154,159-延平民權(出城),121.51126,25.062825
155,160-民權承德(西側),121.518059,25.062883
156,161-民權承德(東側),121.51798,25.062911
157,162-市民重慶(東側),121.513364,25.049276
158,163-市民承德(南側),121.516345,25.048769
159,164-市民承德(西側),121.516423,25.048552
160,165-市民中山(西南角),121.520593,25.047942
161,166-市民中山(西北角),121.520594,25.048132
162,167-重慶愛國(西側),121.512255,25.035305
163,168-師大汀州(南側),121.525374,25.020886
164,169-基隆路3段156巷,121.54248,25.01591
165,171-羅斯福路3段244巷口(台電大樓),121.531481,25.017381
166,172-基隆羅斯(東南角),121.537289,25.010831
167,173-仁愛敦化(北側),121.548706,25.038298
168,174-仁愛敦化(西側),121.548228,25.037939
169,175-仁愛敦化(東側),121.549397,25.037853
170,176-仁愛敦化(南側),121.548781,25.037332
171,177-基隆路北往南主車道1(基隆忠孝),121.564394,25.041319
172,178-基隆路北往南主車道2(基隆忠孝),121.5642727,25.04104561
173,179-基隆路北往南主車道3(基隆忠孝),121.564265,25.041097
174,180-基隆路北往南主車道4(基隆松高),121.563682,25.039173
175,181-基隆路北往南主車道5(基隆松高),121.563516,25.039187
176,182-基隆路北往南主車道6(基隆松壽),121.561488,25.035936
177,183-基隆路北往南主車道7(基隆松壽),121.561413,25.035858
178,184-基隆路北往南主車道8(基隆松壽),121.561338,25.035722
179,185-基隆路南往北主車道1(基隆松壽),121.561193,25.035916
180,186-基隆路南往北主車道2(基隆松壽),121.561134,25.035824
181,187-基隆路南往北主車道3(基隆松壽),121.561091,25.035761
182,188-基隆路南往北主車道4(基隆松高),121.563565,25.039156
183,189-基隆路南往北主車道5(基隆松高),121.563624,25.039163
184,190-基隆路南往北主車道6(基隆忠孝),121.564648,25.041292
185,191-基隆路南往北主車道7(基隆忠孝),121.564589,25.041209
186,192-基隆路南往北主車道8(基隆忠孝),121.564541,25.041112
187,193-基隆路北往南混合車道1(基隆松高),121.563712,25.039233
188,194-基隆路北往南混合車道2(基隆松高),121.563696,25.039182
189,195-基隆路北往南混合車道3(基隆松壽),121.561268,25.03562
190,196-基隆路北往南混合車道4(基隆松壽),121.56122,25.035537
191,197-基隆路南往北混合車道1(基隆松壽),121.561059,25.035693
192,198-基隆路南往北混合車道2(基隆松壽),121.561016,25.035596
193,199-基隆路南往北混合車道3(基隆松高),121.563648,25.039314
194,200-基隆路南往北混合車道4(基隆忠孝),121.564369,25.041272
195,201-自強隧道往故宮入口0K+16M,121.549568,25.087173
196,202-自強隧道往故宮入口0K+240M,121.549301,25.090467
197,203-自強隧道往故宮入口0K+474M,121.548965,25.093479
198,204-自強隧道往大直入口0K+20M,121.548508,25.09413
199,205-自強隧道往大直入口0K+326M,121.548637,25.0924
200,206-自強隧道往大直入口0K+553M,121.548805,25.089815
201,207-辛亥隧道往木柵入口0K+7M,121.554367,25.012644
202,208-辛亥隧道往木柵入口0K+179M,121.555557,25.011465
203,209-辛亥隧道往木柵入口0K+331M,121.557091,25.00993
204,210-辛亥隧道往市區入口0K+7M,121.557335,25.010065
205,211-辛亥隧道往市區入口0K+160M,121.555817,25.011669
206,212-辛亥隧道往市區入口0K+355M,121.554642,25.012848
207,215-經貿二路105巷口,121.6165,25.058111
208,216-南港路經貿一路,121.618722,25.05475
209,217-南港路興中路,121.607389,25.054444
210,218-經貿一路環東大道槽化島,121.617083,25.062694
211,219-環東大道經貿二路出口匝道綠帶,121.612889,25.062778
212,220-忠孝東研究院路(車行往北),121.616226,25.053165
213,221-龍門大樓頂樓,121.5108646,25.05041733
214,222-向陽重陽,121.594667,25.054722
215,223-新生高圓山橋,121.525806,25.073722
216,224-新生高民族,121.527885,25.068029
217,225-新生高民權,121.527528,25.062639
218,226-新生高民生,121.526944,25.057806
219,227-新生高南京,121.528056,25.052361
220,228-新生高長安,121.529806,25.048222
221,229-新生高忠孝,121.529972,25.043
222,231-中山北路6段-福國路口,121.525246,25.102564
223,232-中山北路-通河街口,121.524197,25.079989
224,233-中山北路3段-民權東西路口,121.522486,25.063017
225,234-至善路-福林路口,121.536636,25.099347
226,235-福林路-雨農路-中正路口,121.532342,25.096714
227,236-故宮路-至善路口,121.546461,25.098308
228,237-北安路595巷口,121.548803,25.082
229,238-濱江街-大直橋路口,121.544492,25.072428
230,239- 濱江街150巷口,121.536664,25.072575
231,240-濱江街大佳國小大門右側(號誌桿),121.535642,25.073139
232,241-民族東路-建國北路口,121.533161,25.068272
233,242-松江路-民權東路口,121.533247,25.062322
234,243-復興北路427巷(往北),121.544333,25.063311
235,244-民族西路-延平北路口,121.510728,25.068689
236,245-復興北路427巷(往南),121.544194,25.063311
237,246-承德-庫倫,121.518578,25.071995
238,247-北安路-大直橋頭,121.54436,25.07981
239,248-北安路-中山北路口,121.52714,25.076508
240,249-中山北路-圓山隧道口,121.5250251,25.0767399
241,250-劍潭路-中山北路口,121.525359,25.084214
242,251-劍潭路-承德路口,121.523626,25.084248
243,252-民族西路承德路口,121.518532,25.068525
244,253-民族西路-中山北路口,121.522778,25.068515
245,255-木柵秀明,121.571077,24.991698
246,256-木柵焚化廠,121.5876847,25.00521658
247,257-忠孝東路-松仁路口,121.5689083,25.04086944
248,258-民生東路-松江路口,121.5329167,25.05791111
249,259-重慶北路-民權西路口,121.5138,25.06315
250,260-重慶南路-和平西路口,121.5159028,25.02747778
251,261-市民高架-西寧北路,121.5081194,25.050425
252,262-忠孝東路-復興南路口,121.543925,25.04149722
253,263-中華路-愛國西路口,121.5070306,25.03729722
254,264-基隆路-和平東路口,121.5525944,25.02440556
255,266-基隆路-八德路口(高架第2層),121.5696,25.04958056
256,267-市民高架道路(往東延吉街上方),121.5524583,25.04440833
257,268-基隆路口-八德路口(高架上層),121.5693889,25.04925
258,269-市民大道-松信路口,121.5722278,25.04945833
259,270-市民大道-松山路口,121.5777056,25.04818333
260,271-市民大道-東新街口,121.5837639,25.049775
261,272-東新街-八德路口,121.5828005,25.05166953
262,273-市民大道與向陽路口,121.5956639,25.05134722
263,274-環河北路與民族西路口燈桿上,121.509109,25.068535
264,275-市民大道-中南街口,121.6152472,25.05426944
265,278-重慶北路與南京西路,121.514403,25.054061
266,281-竹子湖派出所前,121.540069,25.167569
267,282-仰德大道二段2巷口,121.5397027,25.1019327
268,283-信義路四段-光復南路口,121.5574992,25.03309573
269,284-信義路-莊敬路口,121.5613374,25.03296744
270,285-昌吉街-重慶北路三段,121.513,25.066
271,286-民生西路-延平北路口,121.511,25.057
272,287-基隆路二段-嘉興街,121.5560042,25.02730626
273,288-逸仙路-松高路口,121.5615771,25.03918714
274,289-承德路-石牌路口,121.509,25.112
275,290-和平羅斯,121.522,25.027
276,291-衡陽路-中華路一段路口,121.508,25.042
277,292-成都路-昆明路口,121.5048269,25.0430233
278,293-艋舺雙園,121.493,25.03
279,294-汀州路-思源街口,121.531,25.015
280,295-萬大路-東園街口,121.498,25.021
281,296-仁愛路-金山南路口,121.5283992,25.03829891
282,297-士東路-忠誠路口,121.53,25.112
283,298-承德路-立賢路口,121.504,25.116
284,299-民生東路限高器,121.5278263,25.05800639
285,300-基隆松壽限高器,121.5604189,25.0346963
286,301-忠孝西路一段86號,121.5133086,25.04740352
287,303-中華路1段2號西北角（國稅局1號）,121.5097318,25.04826003
288,304-中華路1段2號東北角(國稅局2號),121.5097318,25.04826003
289,305-敦化-南京,121.5494028,25.05175833
290,306-敦化-八德,121.5489028,25.04800833
291,307-福國-文林,121.5212278,25.10160833
292,308-大度路與立德路口(東南角),121.4717451,25.12298936
293,309-大度路與立德路口(西南角),121.4715334,25.12318622
294,310-松江路與長春路口,121.5329635,25.0549123
295,311-松江路與民生東路口,121.5329837,25.0581148
296,312-松江路-南京東二段,121.5329494,25.05161857
297,313-松江路與長安東路口,121.5329048,25.04837561
298,314-松江路市民大道口,121.5330538,25.04570815
299,315-復興北路與民生東路口,121.5440837,25.05788686
300,316-復興北路與南京東路口,121.5439827,25.05190533
301,317-復興南路與市民大道口,121.5437534,25.04438833
302,318-木柵路1段與和興路口號誌桿,121.5459973,24.98670152
303,319-復興南路-仁愛三段,121.5436311,25.03782272
304,320-復興南路與信義路口,121.5434377,25.0331958
305,321-復興南路與復興南路2段148巷口,121.5433892,25.02850844
306,322-復興南路與和平東路口,121.5429469,25.02493891
307,323-瑞光路與江南街口,121.5758187,25.07600866
308,324-松江路367號(中山區公所),121.5334104,25.06442183
309,325-水源快上層往南門架(溪州街與汀州路4段140巷口,121.5349488,25.00484617
310,326-中山北路5段與文林路口,121.5255683,25.08602915
311,327-雙溪街與至誠路口,121.5266917,25.10088611
312,328-民生東路與中山北路口,121.5227248,25.05773305
313,329-光復南路與市民大道口,121.557685,25.04492577
314,330-信義路與安和路口,121.5524343,25.03317711
315,331-興隆路與辛亥路口,121.5544587,25.00079635
316,332-興隆路與興隆路3段112巷口,121.5579086,24.9990456
317,333-康寧路3段與南湖大橋,121.6112466,25.0638845
318,334-研究院路2段與大坑街口(南深橋),121.615846,25.04898
319,335-康寧路3段與康寧路3段222巷口,121.6119127,25.06653314
320,336-民生西路與重慶北路口,121.5138393,25.05700219
321,337-中華路一段39號1(台糖騰雲大樓頂樓西南角),121.5095188,25.04552949
322,338-中華路一段39號2(台糖騰雲大樓頂樓西北角),121.5095,25.04544444
323,339-民權東路6段與民權東路6段206巷口,121.5967611,25.06701389
324,341-南京東路4段北寧路口,121.5517954,25.05150119
325,342-辛亥路3段基隆路3段路口,121.5466159,25.01873273
326,343-市高(光復) 市高西行既設鋼構,121.5595583,25.04521969
327,344-市高(建國) 市高西行既設鋼構,121.5395597,25.04459275
328,345-忠孝東-敦化南路口,121.5488551,25.04145101
329,346-中山北-濟南路口,121.5189188,25.04331665
330,347-羅斯福-中山南-愛國路口,121.5167006,25.03486221
331,348-八德-塔悠路口,121.5722722,25.0499889
332,349-南京東-三民路口,121.5637797,25.0514517
333,350-成功-內湖交流道路口,121.5911242,25.06129171
334,351-南京-光復路口,121.557315,25.05155798
335,352-忠孝-延吉路口,121.5544544,25.0414112
336,353-八德-新生北路口,121.5298689,25.04363587
337,354-信義-敦化路口,121.5487834,25.03319875
338,355-和平-敦化路口,121.5487301,25.02447036
339,356-艋舺-萬大路口,121.5005,25.03305
340,357-民族-重慶路口,121.5136523,25.06860855
341,358-木柵-辛亥路口,121.5523655,24.98769899
342,359-木柵-興隆路口,121.5601661,24.98871072
343,360-木新-樟新路口,121.5548942,24.98016743
344,361-羅斯福路五段211巷路口,121.5389509,25.00226207
345,362-木柵-信義快匝道路口,121.5768371,25.00032514
346,363-忠孝東路7段325巷口,121.60569,25.05195
347,364-市民大道8段與南港路2段41巷口,121.6032,25.05261
348,365-南港路2段23巷口,121.60314,25.05366
349,366-承德路6段-福國路口,121.51233,25.1013
350,367-洲子街-瑞光路393巷,121.5733889,25.07910833
351,368-南京東路六段-舊宗路一段,121.581675,25.05726111
352,369-重慶南路-汀州路2段,121.5166389,25.02565
353,370-和平西路3段-南寧路,121.5031556,25.03520833
354,371-和平西路2段-泉州街,121.5143972,25.02766389
355,372-民權東路與敦化北路,121.5512917,25.06165833
356,373-格致路與凱旋路,121.5463722,25.13681389
357,374-重慶南路與廈門街114巷,121.5169944,25.02303056
358,375-重慶北路2段48號,121.5140028,25.05555
359,376-辛亥路4段-101巷,121.558565,25.006698
360,377-菸廠路 市民大道5段14巷,121.5604497,25.045062
361,378-市民大道八段99號(東北角) (臺北流行音樂中心南館頂樓東北角),121.5977722,25.05168333
362,379-市民大道八段99號(西南角) (臺北流行音樂中心南館頂樓西南角),121.5976056,25.05142222
363,380-南港路2段59號(東北角),121.5989194,25.05346944
364,381-羅斯福路2段9號(羅斯福金融廣場大樓),121.5212056,25.02894722
365,382-忠孝東路-光復南路(巨蛋體育館),121.5583624,25.0420172
366,383-忠孝逸仙,121.5616393,25.0411849
367,384-忠孝東路-逸仙路(巨蛋辦公樓),121.5613746,25.04185723
368,385-瑞湖街陽光街321巷,121.5764,25.07123
369,386-中正路-基河路,121.5244972,25.09496667
370,387-中正路-文林路,121.52449,25.09496
371,388-八德路3段-光復北路,121.5578,25.04816
372,389-中山北路6段-德行西路,121.52491,25.10647
373,390-中正路-延平北路5段(西南角),121.50933,25.08666
374,391-文山北向入口,121.5816271,25.00916456
375,392-文山北向出口,121.5781427,25.0209973
376,393-文山南向入口,121.5774561,25.02130841
377,394-文山南向出口,121.5812802,25.00992394
378,395-象山北向入口,121.5763657,25.02374133
379,396-象山北向出口,121.5719446,25.03128632
380,397-象山南向入口,121.571553,25.03133979
381,398-象山南向出口,121.5760372,25.02371064
382,399-木柵路4段-和平東路4段,121.57443,24.99803
383,400-信義杭州,121.52414,25.03556
384,401-民權東路6段180巷口,121.59282,25.0689
385,402-文林北路(75巷)94巷口,121.51762,25.10536
386,403-北士科1(福國路-洲美社區),121.50518,25.10119
387,404-北士科2(福國路-承平路),121.50813,25.1013
388,405-北士科3(福善路-承平路),121.50817,25.09937
389,406-石牌路-立農街2段,121.51899,25.11876
390,407-石牌路2段-東華街1段(捷運石牌站),121.51527,25.11528
391,408-石牌路2段-天母西路,121.52192,25.11921
392,409-石牌路2段130巷,121.51749,25.11807
393,410-木新路1段-指南路1段,121.57064,24.98775
394,411-中山北路5段-中正路,121.52791,25.09574
395,412-中山北路6段-忠誠路1段,121.52489,25.10404
396,413-湖山路-陽金公路,121.54607,25.15222
397,414-重慶北路3段-啟聰學校前,121.51378,25.0746
398,415-承德路1段-南京西路,121.51778,25.05323
399,416-木柵路4段-萬芳路,121.57173,24.99488
400,417-和平東路1段-師大路,121.52847,25.0266
401,418-市民大道5段-東興路,121.56578,25.04828
